Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ISIC_0010727,1.118048,1.1343317,1.0803092,0.0,0.0,1.6097425,0.0,0.0,0.5819777,0.0,1.7622147,0.0,0.0,0.0,2.4484866,0.0,0.63867694,2.7476695,0.0,0.0,0.0,0.0,2.3272173,0.41681945,0.0,2.2631629,1.3228846,1.3819188,0.0,2.0532012,1.2720157,0.924201
ISIC_0010395,0.30516502,0.80453104,0.348278,0.0,0.0,0.9557291,0.0,0.0,0.5555959,0.0,1.2464758,0.0,0.0,0.0,1.4767838,0.0,0.21538888,1.9548794,0.0,0.0,0.0,0.0,1.1594387,0.529173,0.0,1.0423524,0.9410687,0.5792278,0.077789664,1.1725024,0.9056796,0.5720906
ISIC_0011398,1.08648,1.2540929,1.2299114,0.0,0.0,1.8134108,0.0,0.0,1.8154031,0.0,0.9268373,0.0,0.0,0.0,2.1118324,0.0,0.7318265,3.232635,0.0,0.0,0.0,0.0,2.2331328,0.94367474,0.0,1.9292841,0.971167,2.0345895,0.0,3.2174833,1.4929162,0.9915709
ISIC_0010910,0.41929477,0.8623721,0.48288792,0.0,0.0,0.8771032,0.0,0.0,0.433013,0.0,1.4737729,0.0,0.0,0.0,1.6090901,0.0,0.31903037,1.8959744,0.0,0.0,0.0,0.0,1.1170594,0.5168787,0.0,1.1549091,0.97336835,0.5446919,0.0,0.98883617,0.9512635,0.6037367
ISIC_0009913,0.7913039,1.1654503,0.9081242,0.0,0.0,1.3437552,0.0,0.0,0.3880614,0.0,1.6162645,0.0,0.0,0.0,2.1811693,0.0,0.4595165,2.4132519,0.0,0.0,0.0,0.0,1.8024235,0.49287045,0.0,1.7804673,1.2118509,0.9630161,0.0,1.4627924,1.2202927,0.7910659
ISIC_0011072,0.96128476,1.2038934,1.1365799,0.0,0.0,1.7229755,0.0,0.0,0.85010636,0.0,1.5023918,0.0,0.0,0.0,2.3792691,0.0,0.5525632,2.9904401,0.0,0.0,0.0,0.0,2.3660548,0.5239259,0.0,2.1959841,1.1675967,1.4898434,0.0,2.3736837,1.3242085,0.93866044
ISIC_0010648,0.44481432,0.85311645,0.4361928,0.0,0.0,1.0054914,0.0,0.0,0.7838762,0.0,1.233257,0.0,0.0,0.0,1.5875387,0.0,0.22798091,2.1879869,0.0,0.0,0.0,0.0,1.3668802,0.5843747,0.0,1.0638767,0.8761092,0.81967914,0.0,1.4437048,1.0050718,0.6489893
ISIC_0010207,0.15925127,0.691298,0.41313475,0.0,0.0,0.8880718,0.0,0.0,0.35893583,0.0,1.2519292,0.0,0.0,0.17776623,1.3901448,0.0,0.0,1.750122,0.0,0.0,0.0,0.0,1.0871035,0.50496167,0.0,0.80993515,0.78691477,0.348048,0.23583034,0.9917344,0.87455285,0.54406863
ISIC_0010423,0.8367882,1.1097682,1.031566,0.0,0.0,1.5934712,0.0,0.0,1.165644,0.0,1.1964726,0.0,0.0,0.0,2.1262872,0.0,0.41314924,2.9819944,0.0,0.0,0.0,0.0,2.0092225,0.76129204,0.0,1.7964964,0.8516054,1.3498119,0.0,2.437389,1.3863574,0.8502832
ISIC_0010095,0.702335,1.0027384,0.69423586,0.0,0.0,1.0792356,0.0,0.0,0.35447407,0.0,1.6550196,0.0,0.0,0.0,1.9820144,0.0,0.5602176,1.9852114,0.0,0.0,0.0,0.0,1.5050879,0.43204963,0.0,1.5685215,1.3826118,0.7702723,0.0,1.1643045,1.034858,0.70375454
