Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ISIC_0011370,0.60876834,1.128031,0.9507944,0.0,0.0,1.5536643,0.0,0.0,1.119254,0.0,1.1622862,0.0,0.0,0.0,2.0695713,0.0,0.39270502,2.7777414,0.0,0.0,0.0,0.0,1.9718354,0.64699584,0.0,1.6939709,0.91836166,1.2793846,0.0,2.2811136,1.3251134,0.7122237
ISIC_0010386,1.1122559,1.3615725,1.623512,0.0,0.0,2.4182801,0.0,0.0,2.071592,0.0,0.7680994,0.0,0.0,0.0,2.208267,0.0,0.93291193,3.3084307,0.0,0.0,0.0,0.0,1.9224546,1.0543957,0.0,1.7239338,0.88370055,2.1767826,0.0,3.1285186,1.7723413,1.0432599
ISIC_0010436,1.2652022,1.2947853,1.2342945,0.0,0.0,1.5432249,0.0,0.0,0.49678975,0.0,1.9245847,0.0,0.0,0.0,2.6109006,0.0,0.83653504,2.618093,0.0,0.0,0.0,0.0,2.391253,0.43779728,0.0,2.362744,1.5739475,1.398883,0.0,1.8282918,1.3501829,0.9922766
ISIC_0010346,0.2393735,0.8649029,0.43887872,0.0,0.0,0.9119988,0.0,0.0,0.49368554,0.0,1.2877867,0.0,0.0,0.017849818,1.6038065,0.0,0.12690482,2.167735,0.0,0.0,0.0,0.0,1.2320726,0.5654397,0.0,1.185557,1.0722921,0.63270825,0.0,1.2551899,0.9613537,0.47881752
ISIC_0010749,0.0,0.11310947,0.0,0.0,0.38081044,0.4289279,0.0,0.253474,0.0,0.38660255,1.3757155,0.0,0.4800083,0.52623993,0.9989495,0.033428214,0.0,1.2725569,0.045301504,0.26320034,0.0,0.086517125,1.0530803,0.40115756,0.04084432,0.4707054,0.9008258,0.034415677,0.71113473,0.26930135,0.29132968,0.4921806
ISIC_0011108,1.544867,1.485292,2.246498,0.19872716,0.0,3.3581305,0.0,0.0,2.3712566,0.0,0.67427766,0.0,0.0,0.0,2.74671,0.0,1.4815929,3.1308706,0.0,0.0,0.392896,0.0,2.6671796,1.0589201,0.0,2.2616343,0.7194735,2.853525,0.0,3.6163154,2.3272245,1.0341822
ISIC_0010897,0.8620913,1.2384,1.2643664,0.0,0.0,1.826984,0.0,0.0,1.098338,0.0,1.248123,0.0,0.0,0.0,2.3654168,0.0,0.74585164,2.9849954,0.0,0.0,0.0,0.0,2.4209228,0.650837,0.0,2.033738,1.2067486,1.657839,0.0,2.5580323,1.4000955,0.9632368
ISIC_0010659,0.0,0.06421833,0.0,0.0,0.48223108,0.5008563,0.0,0.22328895,0.0,0.2560018,1.3681077,0.0,0.399438,0.65124,0.9614867,0.013209373,0.0,1.1765532,0.093524836,0.26645976,0.0,0.019141369,0.85128176,0.29120016,0.034576215,0.5353002,0.96148956,0.0018680394,0.6293741,0.33009762,0.27422684,0.4683193
ISIC_0009981,0.0,0.07503635,0.0,0.0,0.442239,0.39300665,0.0,0.23431441,0.0,0.2858771,1.37884,0.0,0.31970185,0.65878946,0.92845815,0.05165828,0.0,1.1552645,0.13256267,0.3277976,0.0,0.04340619,0.72420144,0.3352064,0.0,0.48894632,0.9178389,0.036433563,0.65651953,0.21325135,0.17638761,0.49084324
ISIC_0010943,0.5890629,0.8013669,0.49817544,0.0,0.0,0.92268276,0.0,0.0,0.31516898,0.0,1.5300012,0.0,0.0,0.0,1.7214179,0.0,0.33823705,1.748963,0.0,0.0,0.0,0.0,1.2636832,0.45485082,0.0,1.232087,1.2226591,0.6224805,0.0,1.0413678,0.94431275,0.6188142
